 PATAMAR DE DEFICIT
 NUMERO DE PATAMARES DE DEFICIT
 XXX
   1
 CUSTO DO DEFICIT
 NUM|NOME SSIS.|    CUSTO DE DEFICIT POR PATAMAR  | P.U. CORTE POR PATAMAR|
 XXX|XXXXXXXXXX| F|XXXX.XX XXXX.XX XXXX.XX XXXX.XX|X.XXX X.XXX X.XXX X.XXX|
 1   SUDESTE     0 7810.62 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 2   SUL         0 7810.62 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 3   NORDESTE    0 7810.62 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 4   NORTE       0 7810.62 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 11  NOFICT1     1
 999
 LIMITES DE INTERCAMBIO
 A   B   A->B    B->A
 XXX XXX XJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
2028    15638.  15670.  15158.  14243.  13703.  13834.  13814.  13732.  13636.  13916.  14492.  14867.
POS     15638.  15670.  15158.  14243.  13703.  13834.  13814.  13732.  13636.  13916.  14492.  14867.
   3
2024                                                                                    12703.  12359.
2025    12839.  12901.  12769.  12609.  12421.  11984.  11997.  12256.  12667.  13264.  13272.  13058.
2026    13501.  13623.  13378.  13258.  13058.  12599.  12614.  12890.  13324.  13949.  13957.  13731.
2027    13985.  14112.  13859.  13732.  13525.  13049.  13065.  13354.  13805.  14451.  14459.  14224.
2028    14463.  14594.  14334.  14201.  13985.  13492.  13510.  13812.  14279.  14945.  14953.  14710.
POS     14463.  14594.  14334.  14201.  13985.  13492.  13510.  13812.  14279.  14945.  14953.  14710.
   4
2024                                                                                     8077.   7370.
2025     7212.   7447.   7611.   7769.   7852.   7761.   7721.   8030.   8171.   8107.   7909.   7706.
2026     7497.   7797.   7879.   8017.   8061.   8006.   7950.   8235.   8406.   8340.   8178.   7913.
2027     7722.   8032.   8120.   8262.   8310.   8252.   8195.   8496.   8670.   8599.   8430.   8155.
2028     7979.   8266.   8392.   8539.   8589.   8529.   8472.   8789.   8968.   8895.   8715.   8429.
POS      7979.   8266.   8392.   8539.   8589.   8529.   8472.   8789.   8968.   8895.   8715.   8429.
 999
 GERACAO DE USINAS NAO SIMULADAS
 XXX  XBL  XXXXXXXXXXXXXXXXXXXX  XTE
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1    1  PCH
2024                                                                                     1914.   2389.
2025     2788.   2993.   2972.   2670.   2225.   1882.   1613.   1441.   1353.   1593.   1934.   2416.
2026     2810.   3004.   2995.   2691.   2248.   1897.   1625.   1452.   1362.   1603.   1948.   2432.
2027     2850.   3061.   3040.   2736.   2292.   1939.   1659.   1483.   1390.   1636.   1988.   2482.
2028     2885.   3083.   3061.   2751.   2296.   1938.   1659.   1484.   1390.   1636.   1988.   2481.
   1    2  PCT
2024                                                                                     3161.   1630.
2025      911.    963.   1374.   2896.   4404.   4599.   4924.   4779.   4537.   4068.   3375.   1677.
2026      932.    975.   1391.   2932.   4458.   4638.   4973.   4827.   4587.   4114.   3397.   1688.
2027      939.    981.   1398.   2946.   4493.   4673.   4997.   4847.   4607.   4132.   3407.   1692.
2028      939.    981.   1400.   2955.   4491.   4675.   4999.   4845.   4610.   4131.   3408.   1693.
   1    3  EOL
2024                                                                                        7.      8.
2025       10.      7.      5.      3.      3.      4.      5.      8.     10.      9.      7.      9.
2026       10.      7.      6.      3.      3.      4.      5.      8.     10.      9.      7.      9.
2027       10.      7.      6.      3.      3.      4.      5.      8.     10.      9.      7.      9.
2028       10.      7.      6.      3.      3.      4.      5.      8.     10.      9.      7.      8.
   1    4  UFV
2024                                                                                     1687.   1620.
2025     1664.   1771.   1756.   1599.   1642.   1516.   1659.   1775.   2249.   2082.   2230.   1982.
2026     2088.   2187.   2154.   1913.   1928.   1773.   1924.   1985.   2499.   2150.   2319.   2063.
2027     2144.   2255.   2221.   1999.   2007.   1863.   1988.   2082.   2598.   2227.   2418.   2153.
2028     2176.   2281.   2256.   1978.   2032.   1846.   1974.   2098.   2585.   2236.   2411.   2132.
   1    5  PCH MMGD
2024                                                                                     23.16   30.65
2025     30.81   31.54   33.66   33.68   30.61   27.96   24.24   20.75   19.56   20.09   26.26   32.99
2026     33.28   34.07   36.36   36.38   33.07   30.21   26.19   22.42   21.14   21.71   28.37   35.65
2027     36.00   36.91   39.46   39.55   36.00   32.93   28.59   24.52   23.14   23.80   31.15   39.20
2028     39.63   40.66   43.49   43.61   39.72   36.36   31.58   27.10   25.59   26.33   34.48   43.42
   1    6  PCT MMGD
2024                                                                                     84.60   84.80
2025     85.50   86.20   87.00   87.80   88.50   89.20   90.00   90.70   91.40   92.10   92.80   93.70
2026     94.60   95.40   96.30   97.10   98.00   98.70   99.60  100.40  101.10  101.90  102.70  103.70
2027    104.60  105.40  106.20  107.00  107.80  108.60  109.40  110.20  110.90  111.70  112.40  113.30
2028    114.20  115.00  115.70  116.40  117.20  117.90  118.60  119.30  120.00  120.70  121.40  122.20
   1    7  EOL MMGD
2024                                                                                      0.07    0.07
2025      0.06    0.06    0.06    0.05    0.06    0.07    0.07    0.08    0.08    0.07    0.07    0.07
2026      0.07    0.06    0.06    0.05    0.06    0.07    0.07    0.08    0.08    0.07    0.07    0.07
2027      0.07    0.06    0.06    0.05    0.06    0.07    0.07    0.08    0.08    0.07    0.07    0.07
2028      0.07    0.06    0.06    0.05    0.06    0.07    0.07    0.08    0.08    0.07    0.07    0.07
   1    8  UFV MMGD
2024                                                                                   2668.40 2809.20
2025   2831.70 3081.70 2959.90 3009.70 2828.00 2808.10 2926.50 3340.70 3166.50 3128.00 3001.60 3155.80
2026   3157.10 3433.70 3285.40 3333.20 3124.20 3096.20 3219.60 3673.40 3476.60 3430.90 3288.30 3456.30
2027   3453.80 3756.80 3585.00 3631.20 3397.40 3362.90 3492.20 3985.70 3768.60 3717.40 3561.90 3745.60
2028   3740.50 4071.80 3878.60 3925.00 3667.40 3628.20 3764.60 4300.50 4064.40 4009.70 3843.10 4045.10
   2    1  PCH
2024                                                                                     1105.    990.
2025      873.    889.    898.    876.   1010.   1274.   1191.   1024.   1110.   1365.   1172.   1039.
2026      919.    926.    928.    904.   1040.   1328.   1253.   1072.   1158.   1422.   1225.   1085.
2027      964.    972.    982.    966.   1106.   1383.   1293.   1107.   1194.   1465.   1261.   1118.
2028      988.    990.    992.    966.   1109.   1385.   1292.   1107.   1194.   1465.   1261.   1117.
   2    2  PCT
2024                                                                                      523.    395.
2025      386.    386.    429.    484.    566.    534.    542.    588.    572.    528.    523.    399.
2026      390.    389.    432.    488.    571.    539.    547.    593.    578.    533.    527.    399.
2027      390.    389.    432.    488.    571.    539.    547.    593.    578.    534.    527.    399.
2028      390.    389.    432.    489.    571.    539.    547.    593.    578.    533.    527.    399.
   2    3  EOL
2024                                                                                      826.    771.
2025      661.    629.    700.    734.    712.    765.    831.    796.    921.    917.    906.    846.
2026      724.    686.    703.    734.    713.    765.    831.    796.    920.    915.    906.    846.
2027      722.    686.    703.    735.    713.    765.    831.    795.    920.    914.    907.    847.
2028      724.    687.    705.    732.    712.    765.    831.    794.    919.    915.    906.    843.
   2    4  UFV
2024                                                                                        4.      4.
2025        4.      4.      4.      3.      3.      2.      3.      3.      3.      3.      4.      4.
2026        4.      4.      4.      3.      3.      2.      3.      3.      3.      3.      4.      4.
2027        4.      4.      4.      3.      3.      2.      3.      3.      3.      3.      4.      4.
2028        4.      4.      4.      3.      3.      2.      3.      3.      3.      3.      4.      4.
   2    5  PCH MMGD
2024                                                                                      5.28    4.95
2025      5.33    4.71    4.86    4.71    4.61    5.93    6.47    5.81    5.98    6.46    5.83    5.52
2026      5.97    5.28    5.45    5.27    5.15    6.62    7.23    6.48    6.68    7.20    6.50    6.15
2027      6.65    5.89    6.07    5.88    5.75    7.40    8.08    7.25    7.47    8.05    7.27    6.89
2028      7.45    6.59    6.80    6.59    6.44    8.29    9.05    8.12    8.37    9.03    8.15    7.73
   2    6  PCT MMGD
2024                                                                                     39.86   39.88
2025     40.21   40.41   40.63   40.83   41.03   41.22   41.43   41.63   41.82   42.01   42.21   42.44
2026     42.66   42.86   43.07   43.26   43.46   43.64   43.84   44.03   44.21   44.40   44.58   44.80
2027     45.02   45.22   45.42   45.61   45.81   45.99   46.18   46.37   46.55   46.73   46.92   47.14
2028     47.34   47.52   47.69   47.86   48.03   48.19   48.37   48.53   48.69   48.85   49.01   49.21
   2    7  EOL MMGD
2024                                                                                      0.16    0.17
2025      0.16    0.15    0.15    0.13    0.15    0.17    0.18    0.19    0.19    0.17    0.17    0.17
2026      0.16    0.15    0.15    0.13    0.16    0.17    0.18    0.19    0.19    0.18    0.17    0.18
2027      0.16    0.15    0.16    0.14    0.16    0.18    0.18    0.20    0.20    0.18    0.18    0.18
2028      0.17    0.16    0.16    0.14    0.16    0.18    0.19    0.20    0.20    0.19    0.18    0.19
   2    8  UFV MMGD
2024                                                                                   1289.00 1316.90
2025   1304.90 1322.60 1304.20 1195.70 1012.00  920.40  987.20 1183.10 1137.20 1243.30 1382.80 1407.40
2026   1386.00 1403.10 1381.60 1265.20 1069.60  971.80 1040.80 1246.10 1196.30 1306.80 1452.30 1476.40
2027   1452.70 1469.80 1446.70 1324.10 1119.10 1016.30 1087.90 1302.30 1249.50 1364.70 1516.70 1541.20
2028   1516.10 1533.90 1509.70 1381.80 1167.70 1060.50 1135.00 1358.90 1303.70 1423.90 1583.00 1608.70
   3    1  PCH
2024                                                                                       83.     92.
2025       85.     81.     83.     85.     80.     74.     75.     80.     71.     70.     90.     99.
2026       92.     88.     90.     92.     88.     82.     82.     88.     78.     73.     90.     99.
2027       92.     88.     90.     92.     88.     82.     82.     88.     78.     73.     90.     99.
2028       92.     88.     90.     92.     88.     82.     82.     88.     78.     73.     90.     99.
   3    2  PCT
2024                                                                                      489.    500.
2025      476.    425.    399.    373.    375.    364.    361.    380.    439.    494.    495.    506.
2026      482.    425.    399.    373.    375.    364.    361.    380.    439.    494.    495.    506.
2027      482.    425.    399.    373.    375.    364.    361.    380.    439.    494.    495.    506.
2028      482.    425.    399.    374.    375.    364.    361.    380.    439.    494.    495.    506.
   3    3  EOL
2024                                                                                    11625.  11249.
2025    10077.   9889.   9303.   9042.  11670.  14237.  16054.  16978.  16965.  16004.  12614.  12234.
2026    10878.  10616.   9894.   9600.  12357.  14961.  16868.  17510.  17311.  16277.  12686.  12243.
2027    10891.  10616.   9894.   9580.  12357.  14939.  16883.  17500.  17311.  16304.  12692.  12238.
2028    10878.  10612.   9875.   9640.  12301.  14961.  16898.  17489.  17325.  16277.  12686.  12253.
   3    4  UFV
2024                                                                                     2202.   2133.
2025     2152.   2231.   2063.   2191.   1955.   2143.   2317.   2528.   2771.   2835.   2840.   2790.
2026     2933.   2991.   2779.   2821.   2394.   2606.   2768.   2876.   3099.   3137.   3078.   3004.
2027     3048.   3118.   2898.   2924.   2497.   2733.   2854.   2998.   3215.   3243.   3170.   3073.
2028     3086.   3150.   2937.   2926.   2521.   2717.   2837.   3013.   3199.   3254.   3167.   3056.
   3    5  PCH MMGD
2024                                                                                      0.07    0.08
2025      0.07    0.07    0.07    0.07    0.07    0.10    0.11    0.11    0.09    0.09    0.10    0.10
2026      0.09    0.09    0.09    0.09    0.10    0.13    0.14    0.14    0.12    0.11    0.12    0.12
2027      0.12    0.12    0.12    0.12    0.13    0.17    0.18    0.18    0.16    0.15    0.17    0.17
2028      0.16    0.16    0.16    0.17    0.17    0.22    0.24    0.24    0.21    0.20    0.22    0.22
   3    6  PCT MMGD
2024                                                                                      8.96    8.99
2025      9.05    9.14    9.23    9.32    9.40    9.48    9.57    9.66    9.74    9.82    9.90   10.00
2026     10.10   10.18   10.27   10.35   10.44   10.52   10.60   10.68   10.76   10.84   10.92   11.01
2027     11.12   11.21   11.32   11.41   11.51   11.59   11.69   11.79   11.87   11.97   12.06   12.17
2028     12.24   12.29   12.34   12.38   12.42   12.47   12.51   12.56   12.60   12.64   12.68   12.73
   3    7  EOL MMGD
2024                                                                                      8.26    7.00
2025      6.57    6.77    5.88    6.84    8.57   10.18   11.32   12.49   12.88   11.76   10.98    9.56
2026      9.08    9.36    8.13    9.45   11.83   14.04   15.60   17.21   17.74   16.19   15.12   13.15
2027     12.50   12.90   11.21   13.04   16.34   19.41   21.58   23.82   24.57   22.43   20.96   18.25
2028     17.36   17.94   15.60   18.17   22.79   27.10   30.16   33.32   34.39   31.42   29.39   25.60
   3    8  UFV MMGD
2024                                                                                   1087.80 1059.70
2025   1055.20 1083.80 1113.60 1066.90 1019.80  991.50 1049.40 1185.40 1276.60 1267.40 1256.00 1219.00
2026   1205.70 1234.10 1263.00 1205.40 1148.50 1113.40 1174.60 1323.00 1421.10 1407.00 1390.60 1345.00
2027   1326.40 1355.00 1384.00 1318.00 1253.60 1213.30 1277.70 1436.90 1541.00 1523.40 1503.50 1451.00
2028   1428.60 1458.40 1488.80 1416.60 1346.50 1302.40 1370.70 1540.90 1651.70 1632.00 1609.80 1552.10
   4    1  PCH
2024                                                                                      122.    138.
2025      154.    159.    166.    151.    132.    117.    107.    101.     99.    105.    122.    138.
2026      154.    166.    173.    157.    140.    124.    113.    107.    105.    111.    129.    147.
2027      163.    168.    176.    160.    140.    124.    113.    107.    105.    111.    129.    147.
2028      163.    168.    176.    160.    140.    124.    113.    107.    105.    111.    129.    147.
   4    2  PCT
2024                                                                                      200.    186.
2025      177.    198.    196.    210.    226.    185.    206.    209.    207.    195.    200.    186.
2026      177.    198.    196.    210.    226.    185.    206.    209.    207.    195.    200.    186.
2027      177.    198.    196.    210.    226.    185.    206.    209.    207.    195.    200.    186.
2028      177.    198.    196.    210.    226.    185.    206.    209.    207.    195.    200.    186.
   4    3  EOL
2024                                                                                      284.    292.
2025      171.    151.     85.     87.     96.    122.    163.    253.    326.    321.    284.    292.
2026      170.    150.     86.     87.     96.    123.    163.    253.    327.    322.    284.    292.
2027      170.    150.     86.     88.     96.    123.    163.    253.    327.    322.    284.    292.
2028      170.    150.     86.     86.     97.    123.    163.    252.    327.    322.    284.    292.
   4    4  UFV
2024                                                                                        1.      1.
2025        2.      2.      2.      2.      2.      2.      2.      2.      2.      1.      1.      1.
2026        2.      2.      2.      2.      2.      2.      2.      2.      2.      1.      1.      1.
2027        2.      2.      2.      2.      2.      2.      2.      2.      2.      1.      1.      1.
2028        2.      2.      2.      2.      2.      2.      2.      2.      2.      1.      1.      1.
   4    5  PCH MMGD
2024                                                                                      0.00    0.00
