NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  62 POTEF   360.00 11 2024          SEROPEDICA
  62 TEIFT     0.00 11 2024 11 2024  
  62 IPTER     0.00  1 2025  3 2025  
  62 IPTER    11.67  4 2025  4 2025  
  62 IPTER    12.50  5 2025  5 2025  
  62 IPTER     0.00  6 2025  7 2025  
  62 IPTER    11.69  8 2025  8 2025  
  62 FCMAX    43.33  9 2025  9 2025  
  62 IPTER     0.00  9 2025  9 2025  
  62 FCMAX     0.00 10 2025          
   4 POTEF   436.00 11 2024          ST.CRUZ 34
   4 FCMAX     0.00 11 2024          
  86 POTEF   500.00 11 2024          ST.CRUZ NOVA
  86 TEIFT     0.00 11 2024  1 2025  
  86 IPTER     0.00  1 2025  2 2025  
  86 FCMAX     0.00  1 2027          
 146 POTEF    41.40 11 2024          STA VITORIA
 146 FCMAX    99.03 11 2024 11 2024  
 146 TEIFT     0.00 11 2024 11 2024  
 146 GTMIN    18.00 11 2024 11 2024  
 146 FCMAX    93.00 12 2024          
 146 GTMIN    16.00 12 2024 12 2024  
 146 IPTER   100.00  1 2025  2 2025  
 146 IPTER     0.00  3 2025 12 2025  
 146 GTMIN    16.00  3 2025          
 194 POTEF   349.00 11 2024          T. NORTE 2
 194 FCMAX     0.00 11 2024          
  90 POTEF   922.62 11 2024          TERMOMACAE
  90 FCMAX    96.41 11 2024 11 2024  
  90 TEIFT     0.00 11 2024 11 2024  
  90 FCMAX   100.00 12 2024 12 2025  
  90 IPTER     4.19  1 2025  1 2025  
  90 IPTER     4.74  2 2025  2 2025  
  90 IPTER     4.77  3 2025  3 2025  
  90 IPTER     4.74  4 2025  4 2025  
  90 IPTER     5.24  5 2025  5 2025  
  90 IPTER     0.35  6 2025  6 2025  
  90 IPTER     4.80  7 2025  7 2025  
  90 IPTER     4.90  8 2025  8 2025  
  90 IPTER     4.87  9 2025  9 2025  
  90 IPTER     4.67 10 2025 10 2025  
  90 IPTER     4.95 11 2025 11 2025  
  90 IPTER     4.75 12 2025 12 2025  
  90 FCMAX     0.00  1 2026          
  47 POTEF   989.20 11 2024  6 2026  TERMORIO
  47 TEIFT     0.00 11 2024 11 2024  
  47 GTMIN   270.00 11 2024 11 2024  
  47 GTMIN   100.50 12 2024 12 2024  
  47 FCMAX     0.00  1 2025  6 2026  
  47 POTEF  1058.30  7 2026          TERMORIO
  47 FCMAX    93.47  7 2026          
  47 IPTER     5.20  7 2026          
  47 TEIFT     6.00  7 2026          
  68 POTEF   350.00 11 2024          TRES LAGOAS
  68 TEIFT     0.00 11 2024 11 2024  
  68 IPTER     0.00  1 2025  8 2025  
  68 FCMAX    80.00  9 2025  9 2025  
  68 IPTER     7.72  9 2025  9 2025  
  68 FCMAX     0.00 10 2025          
  49 POTEF   174.60 11 2024          VIANA
  49 FCMAX    99.85 11 2024 11 2024  
  49 TEIFT     0.00 11 2024 11 2024  
  49 FCMAX   100.00 12 2024 12 2024  
  49 FCMAX     0.00  1 2025          
 253 POTEF    37.48 11 2024 12 2025  VIANA 1
 253 TEIFT     0.00 11 2024 11 2024  
 334 POTEF   177.12 11 2024          W. ARJONA
 334 FCMAX     0.00 11 2024  6 2026  
 334 FCMAX    84.69  7 2026          
 334 IPTER     3.49  7 2026          
 334 TEIFT     2.50  7 2026          
 334 GTMIN   138.00  7 2026          
 108 POTEF    53.58 11 2024          XAVANTES
 108 FCMAX     0.00 11 2024          
  48 POTEF   484.15 11 2024          ARAUCARIA
  48 FCMAX     0.00 11 2024          
 254 POTEF    10.32 11 2024 12 2025  B. BONITA I
 254 FCMAX    91.01 11 2024 12 2025  
 254 TEIFT     0.00 11 2024 11 2024  
 254 GTMIN     3.70 11 2024 12 2025  
 254 IPTER     0.00  1 2025  9 2025  
 254 IPTER    22.58 10 2025 10 2025  
 254 IPTER    30.00 11 2025 11 2025  
 254 IPTER     0.00 12 2025 12 2025  
 156 POTEF   350.00 11 2024          CANDIOTA 3
 156 FCMAX    93.14 11 2024 11 2024  
 156 TEIFT     0.00 11 2024 11 2024  
 156 GTMIN   270.00 11 2024 11 2024  
 156 FCMAX   100.00 12 2024 12 2024  
 156 GTMIN   210.00 12 2024 12 2024  
 156 FCMAX     0.00  1 2025          
  64 POTEF   248.57 11 2024          CANOAS
  64 FCMAX    10.38 11 2024 11 2024  
  64 TEIFT     0.00 11 2024 11 2024  
  64 FCMAX   100.00 12 2024  8 2025  
  64 FCMAX    43.33  9 2025  9 2025  
  64 FCMAX     0.00 10 2025          
  28 POTEF    20.00 11 2024          FIGUEIRA
  28 FCMAX     0.00 11 2024          
  26 POTEF    80.00 11 2024          J.LACERDA A1
  26 TEIFT     0.00 11 2024 11 2024  
  26 GTMIN    71.89 12 2024 12 2024  
  26 GTMIN    56.89  6 2025 12 2025  
  26 GTMIN    56.89  6 2026 12 2026  
  26 GTMIN    56.89  6 2027 12 2027  
  26 GTMIN    56.89  6 2028          
  27 POTEF   110.00 11 2024          J.LACERDA A2
  27 TEIFT     0.00 11 2024 11 2024  
  27 GTMIN   100.42 12 2024 12 2024  
  27 GTMIN    87.36  6 2025 12 2025  
  27 GTMIN    87.36  6 2026 12 2026  
  27 GTMIN    87.36  6 2027 12 2027  
  27 GTMIN    87.36  6 2028          
  25 POTEF   220.00 11 2024          J.LACERDA B
  25 TEIFT     0.00 11 2024 11 2024  
  25 GTMIN   201.91 12 2024 12 2024  
  25 IPTER     0.00  1 2025  1 2025  
  25 IPTER    23.21  2 2025  2 2025  
  25 IPTER    50.00  3 2025  4 2025  
  25 IPTER    25.81  5 2025  5 2025  
  25 IPTER     0.00  6 2025 12 2025  
  25 GTMIN   201.91  6 2025 12 2025  
  25 GTMIN   174.41  6 2026 12 2026  
  25 GTMIN   174.41  6 2027 12 2027  
  25 GTMIN   174.41  6 2028          
  24 POTEF   330.00 11 2024          J.LACERDA C
  24 TEIFT     0.00 11 2024 11 2024  
  24 GTMIN   305.01 12 2024 12 2024  
  24 IPTER     0.00  1 2025  7 2025  
  24 GTMIN   256.00  1 2025  1 2025  
  24 GTMIN   305.01  6 2025  7 2025  
  24 IPTER    48.39  8 2025  8 2025  
  24 GTMIN   157.41  8 2025  8 2025  
  24 IPTER   100.00  9 2025  9 2025  
  24 IPTER    16.13 10 2025 10 2025  
  24 GTMIN   255.81 10 2025 10 2025  
  24 IPTER     0.00 11 2025 12 2025  
  24 GTMIN   305.01 11 2025 12 2025  
  24 GTMIN   256.00  1 2026  1 2026  
  24 GTMIN   261.39  6 2026 12 2026  
  24 GTMIN   256.00  1 2027  1 2027  
  24 GTMIN   261.39  6 2027 12 2027  
  24 GTMIN   256.00  1 2028  1 2028  
  24 GTMIN   261.39  6 2028          
 107 POTEF   345.00 11 2024          PAMPA SUL
 107 FCMAX   100.00 11 2024          
 107 TEIFT     0.00 11 2024 11 2024  
 107 GTMIN   285.00 11 2024 11 2024  
 107 GTMIN   211.00 12 2024 12 2024  
 107 GTMIN   139.00  1 2025  1 2025  
 107 GTMIN   229.95  2 2025  3 2025  
 107 GTMIN   229.95  5 2025  6 2025  
 107 GTMIN   229.95 10 2025 11 2025  
 107 GTMIN   211.00 12 2025 12 2025  
 107 GTMIN   139.00  1 2026  1 2026  
 107 GTMIN   229.95  2 2026  3 2026  
 107 GTMIN   229.95  5 2026  6 2026  
 107 GTMIN   229.95 10 2026 11 2026  
 107 GTMIN   211.00 12 2026 12 2026  
 107 GTMIN   139.00  1 2027  1 2027  
 107 GTMIN   229.95  2 2027  3 2027  
 107 GTMIN   229.95  5 2027  6 2027  
 107 GTMIN   229.95 10 2027 11 2027  
 107 GTMIN   211.00 12 2027 12 2027  
 107 GTMIN   139.00  1 2028  1 2028  
